MS_depth,age_kabp_MS,MS
318.613,909.44905,149.2
319.093,912.7599,73.6
319.573,916.32385,199
320.053,919.8114,150.6
320.533,920.9811,204.7
321.013,922.1214,188.4
321.493,923.23525,255.6
321.973,924.2802,153.3
322.453,925.33275,231.4
322.933,926.48185,139.3
323.413,927.70645,106.2
323.893,928.93185,138.9
324.373,930.12395,48.3
324.853,931.31775,286.5
325.333,932.50785,101.9
325.813,933.699,94.4
326.293,934.90445,126.2
326.773,936.1472,119.2
327.253,937.43575,87.8
327.73,938.714,73.3
328.21,939.90375,89.1
328.69,941.0689,114.8
329.17,942.2608,120.8
329.65,943.56565,83.2
330.13,944.84135,82.6
330.61,946.1574,103.2
331.09,947.53545,91.1
331.57,948.90345,44.7
332.05,950.20715,92
332.53,951.47655,100
333.01,952.7385,88.8
333.49,954.1669,58.1
333.97,955.6015,77.1
334.153,956.1717,109.4
334.323,956.6784,78.2
334.45,957.0196,111.8
334.633,957.5661,95.5
334.723,957.8225,88.2
334.828,958.124,97.8
334.93,958.40115,151
335.113,958.9643,118.8
335.273,959.4445,109.6
335.41,959.8226,101.5
335.593,960.3857,103.9
335.648,960.5373,107.5
335.788,960.8915,126.7
335.89,961.1225,206.2
335.953,961.3009,154.6
336.068,961.5953,157.6
336.115,961.713,179.4
336.23,962.0099,135.9
336.37,962.34925,181
336.435,962.5397,147.1
336.55,962.835,134.7
336.72,963.268,0
336.85,963.57545,150.8
337.025,963.9978,100.3
337.19,964.3584,79
337.33,964.6385,140.7
337.505,965.0406,266.5
337.665,965.3832,305.9
337.81,965.67995,344.1
337.99,966.0806,174.7
338.29,966.6931,184
338.77,967.6221,152.9
339.25,968.5567,237.8
339.73,969.49615,159.8
340.21,970.44075,166
340.69,971.39165,139.4
340.868,971.7563,132.6
340.953,971.9287,136.4
341.028,972.0829,136
341.17,972.353,149.4
341.348,972.735,140.7
341.508,973.0646,132.3
341.65,973.3392,133.6
341.738,973.5325,160.5
341.883,973.8373,122.2
342.048,974.1678,103.6
342.13,974.31945,143.5
342.218,974.5166,110.1
342.363,974.8341,102.1
342.508,975.138,121.5
342.61,975.341,144.5
342.614,975.3647,105.6
342.751,975.65585,105.8
342.909,975.985,93.6
342.979,976.1416,78.5
343.09,976.35225,121.4
343.179,976.5513,82.6
343.305,976.83065,123.4
343.459,977.1438,131.6
343.57,977.3291,177.8
343.659,977.5096,140.4
343.794,977.7604,122.6
343.944,978.0402,104.4
344.05,978.2309,124
344.109,978.351,200.5
344.259,978.6371,81.2
344.364,978.8384,78.5
344.53,979.1363,133.7
344.659,979.3914,203.4
344.751,979.5679,112.3
344.851,979.7356,140.1
345,979.97515,145.5
345.056,980.0853,124.1
345.176,980.2953,397.3
345.336,980.5692,67.6
345.49,980.82075,110.2
345.626,981.0711,115.1
345.726,981.2393,123.2
345.871,981.4902,169.7
345.97,981.65315,160.5
346.056,981.821,132.5
346.101,981.9064,112.8
346.211,982.12,111.6
346.343,982.38325,105.2
346.45,982.5706,182.8
346.93,983.5256,166.7
347.41,984.562,243.6
347.89,986.02985,156.7
348.37,987.5029,133
